date,day,steps,distance,altitude,calories
2018-02-13,Tuesday,7327,4.01,29,2307
2018-02-14,Wednesday,5984,3.55,33,2129
2018-02-15,Thursday,8216,4.77,24,2320
2018-02-16,Friday,7213,4.04,14,2249
2018-02-17,Saturday,3147,1.72,1,1978
2018-02-18,Sunday,694,0.38,0,1748
2018-02-19,Monday,7536,4.13,16,2252
2018-02-20,Tuesday,15603,8.65,36,2687
2018-02-21,Wednesday,11447,6.28,33,2425
2018-02-22,Thursday,7140,4.0,14,2195
2018-02-23,Friday,7141,4.1,17,2147
2018-02-24,Saturday,5373,3.21,9,2128
2018-02-25,Sunday,11329,6.39,8,2542
2018-02-26,Monday,7415,4.06,20,2294
2018-02-27,Tuesday,8209,5.13,23,2294
2018-02-28,Wednesday,11293,6.55,65,2404
2018-03-01,Thursday,6270,3.44,46,2142
2018-03-02,Friday,10367,5.9,47,2346
2018-03-03,Saturday,8926,5.38,8,2357
2018-03-04,Sunday,14168,7.85,7,2830
2018-03-05,Monday,14304,9.01,19,2771
2018-03-06,Tuesday,10594,5.9,26,2393
2018-03-07,Wednesday,7408,4.06,19,2226
2018-03-08,Thursday,7332,4.19,13,2261
2018-03-09,Friday,20436,11.4,42,3358
2018-03-10,Saturday,14209,8.7,26,2731
2018-03-11,Sunday,9627,5.27,14,2534
2018-03-12,Monday,8611,5.22,18,2265
2018-03-13,Tuesday,11405,6.34,27,2570
2018-03-14,Wednesday,5237,3.05,12,2129
2018-03-15,Thursday,7709,4.23,56,2194
2018-03-16,Friday,5640,3.36,38,2069
2018-03-17,Saturday,7470,4.45,34,2240
2018-03-18,Sunday,6641,4.09,13,2291
2018-03-19,Monday,3787,2.42,8,2081
2018-03-20,Tuesday,3137,1.88,2,2026
2018-03-21,Wednesday,11348,6.21,35,2627
2018-03-22,Thursday,10805,5.92,1,2531
2018-03-23,Friday,10796,6.01,27,2516
2018-03-24,Saturday,4377,2.4,3,2072
2018-03-25,Sunday,14498,7.94,66,2909
2018-03-26,Monday,4944,2.71,35,2016
2018-03-27,Tuesday,8303,4.55,19,2508
2018-03-28,Wednesday,113,0.06,0,1658
2018-03-29,Thursday,1675,0.91,3,1964
2018-03-30,Friday,10243,5.61,20,2567
2018-03-31,Saturday,3284,1.81,9,2112
